Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
8,Aug.,False,W. H'wood wants Trump star struck,https://link.galegroup.com/apps/doc/A549345752/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fe81f56e,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Aug.,False,GOP'er calls win in ohio nailbiter,https://link.galegroup.com/apps/doc/A549345775/SPN.SP01?u=nypl&sid=SPN.SP01&xid=3dbd51a9,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Aug.,True,Out with Infowars 'Hate speech' purged,https://link.galegroup.com/apps/doc/A549234509/SPN.SP01?u=nypl&sid=SPN.SP01&xid=642e8c70,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7,Aug.,True,Compound's terror link Built by kin of B'klyn imam tied to WTC bombing,https://link.galegroup.com/apps/doc/A549234539/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7e425a25,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,Aug.,True,Hell in the desert 11 starving kids found in squalor,https://link.galegroup.com/apps/doc/A549149137/SPN.SP01?u=nypl&sid=SPN.SP01&xid=34b87635,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,Aug.,False,Myanmar hit over journos,https://link.galegroup.com/apps/doc/A549133418/SPN.SP01?u=nypl&sid=SPN.SP01&xid=396ef9dc,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Aug.,False,"DeB protector sues Muslim cop: I was smeared, held back",https://link.galegroup.com/apps/doc/A549110227/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6aa49ce3,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,July,False,"REBEL SOUL Jersey girl SZA talks Drew Barrymore, ditching her hijab and her rise to R&B royalty",https://link.galegroup.com/apps/doc/A547879954/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c760b52d,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,July,False,'BOLD' VISION Freeform series tackles topical subjects in Season 1,https://link.galegroup.com/apps/doc/A547370293/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fd5c449d,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,July,False,WEIRD BUT TRUE,https://link.galegroup.com/apps/doc/A546193079/SPN.SP01?u=nypl&sid=SPN.SP01&xid=daece92c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,July,True,PostScript Letters,https://link.galegroup.com/apps/doc/A545904368/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2cb125aa,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7,July,False,Anti-Catholic Bigotry: A Religious Test for Barrett,https://link.galegroup.com/apps/doc/A545886168/SPN.SP01?u=nypl&sid=SPN.SP01&xid=8c485b39,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,July,True,ISIS wives are fed up Jihadi-divorce spike,https://link.galegroup.com/apps/doc/A545568542/SPN.SP01?u=nypl&sid=SPN.SP01&xid=67853699,2018,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
5,July,True,ISIS chief's son slain,https://link.galegroup.com/apps/doc/A545441457/SPN.SP01?u=nypl&sid=SPN.SP01&xid=466dfaa9,2018,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
4,July,False,Holy schools' UFT 'purge' suspicious,https://link.galegroup.com/apps/doc/A545303393/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7ff5aad7,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,July,True,Trump's Travel-Ban Triumph,https://link.galegroup.com/apps/doc/A545036609/SPN.SP01?u=nypl&sid=SPN.SP01&xid=83fd2f64,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1,July,False,Hate is now served,https://link.galegroup.com/apps/doc/A545063222/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7f5dd5bb,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,July,False,Liberals' fear and loathing,https://link.galegroup.com/apps/doc/A545063223/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c5655041,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,June,False,Don UN immig-pick nix,https://link.galegroup.com/apps/doc/A545020702/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4f697fa6,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,June,True,FAST TAKES,https://link.galegroup.com/apps/doc/A545020714/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b45a2c8c,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,June,False,Ball in Trump's court Will move Supremes right as Kennedy goes,https://link.galegroup.com/apps/doc/A544625969/SPN.SP01?u=nypl&sid=SPN.SP01&xid=f47f09a9,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,June,True,FAST TAKES,https://link.galegroup.com/apps/doc/A544519134/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4c65d586,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,June,False,THE BAN STANDS Supremes OK Trump's travel rule,https://link.galegroup.com/apps/doc/A544519153/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2dde531d,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,June,True,Paying for a Smear,https://link.galegroup.com/apps/doc/A543489143/SPN.SP01?u=nypl&sid=SPN.SP01&xid=be86c57b,2018,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
19,June,True,Fast Takes,https://link.galegroup.com/apps/doc/A543489188/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6eb177be,2018,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
17,June,True,Afghan enemies turned brothers-in-arms,https://link.galegroup.com/apps/doc/A543341814/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5dc016af,2018,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14,June,False,Fast Takes,https://link.galegroup.com/apps/doc/A542602905/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fc994b5d,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,June,False,Barr's cutoff key to spinoff,https://link.galegroup.com/apps/doc/A542433366/SPN.SP01?u=nypl&sid=SPN.SP01&xid=939e9d82,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,June,False,Pol plans gender-seg days at public beach,https://link.galegroup.com/apps/doc/A541663050/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c7bb39bc,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,June,False,A Flour-ing Debate Over a Baker's Rights,https://link.galegroup.com/apps/doc/A541552126/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c31ed549,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,June,False,"Lord, help us! It's Hizz Holiness at the pulpit 'Rev.' Blasio gets biblical in sermon on school-admission plan",https://link.galegroup.com/apps/doc/A541314992/SPN.SP01?u=nypl&sid=SPN.SP01&xid=62dbc84a,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,June,False,Not a pod person,https://link.galegroup.com/apps/doc/A541285322/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c34a3984,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,June,False,'F-bomb' rider: Sorry,https://link.galegroup.com/apps/doc/A541021039/SPN.SP01?u=nypl&sid=SPN.SP01&xid=dc5cba58,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,June,False,Feckless Stitches doubling down,https://link.galegroup.com/apps/doc/A541021067/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2a1136c9,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,May,False,Nonstop barrage! Rabid Rosie's racist tweeting tempest: Day 2,https://link.galegroup.com/apps/doc/A540920627/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6a9e79c9,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,May,False,Rx co.: Don't blame us!,https://link.galegroup.com/apps/doc/A540920654/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fceb9037,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,May,True,Racist Rosie disBarred ABC zaps show after star compares black Bam aide to ape,https://link.galegroup.com/apps/doc/A540814113/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d45ce92e,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
30,May,False,Her mad hater act isn't new,https://link.galegroup.com/apps/doc/A540814114/SPN.SP01?u=nypl&sid=SPN.SP01&xid=54597f03,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,May,False,'We loved her and she loved us',https://link.galegroup.com/apps/doc/A539670588/SPN.SP01?u=nypl&sid=SPN.SP01&xid=aeb27834,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,May,False,How Many Times? The 10 bright lives stolen in tex. Teacher sweet as 'grandma' and nine others among vics,https://link.galegroup.com/apps/doc/A539716698/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fd68363a,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,May,True,How Many Times? Exchange student killed Pakistan girl was set to go home in June,https://link.galegroup.com/apps/doc/A539642569/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fb8e1ef8,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16,May,False,Trump hails Muslims,https://link.galegroup.com/apps/doc/A538870389/SPN.SP01?u=nypl&sid=SPN.SP01&xid=74229470,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,May,True,Chuck: It was 'long overdue',https://link.galegroup.com/apps/doc/A538751382/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2bca78e0,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14,May,True,French had him on their radar Paris knife slayer linked to ISIS in new video,https://link.galegroup.com/apps/doc/A538539863/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b930ca37,2018,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False
13,May,False,Reader fears for our wicked ways,https://link.galegroup.com/apps/doc/A538536777/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5895e922,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,May,True,Teenager raped & burned Latest India attack,https://link.galegroup.com/apps/doc/A537623517/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2b0edcde,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,May,True,Fast Takes,https://link.galegroup.com/apps/doc/A536888543/SPN.SP01?u=nypl&sid=SPN.SP01&xid=9824b981,2018,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False
28,Apr.,False,$100M sex rebuttal Ex-BofA exec claims blowing whistle cost him,https://link.galegroup.com/apps/doc/A536743413/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4e3c2417,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Apr.,False,Ryan ousts House rev,https://link.galegroup.com/apps/doc/A536399758/SPN.SP01?u=nypl&sid=SPN.SP01&xid=fb8595ce,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Apr.,True,Supremely favorable Court leans toward travel ban,https://link.galegroup.com/apps/doc/A536256660/SPN.SP01?u=nypl&sid=SPN.SP01&xid=9cecc7c6,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
23,Apr.,True,Fast Takes,https://link.galegroup.com/apps/doc/A535843629/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d06fa45f,2018,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False
22,Apr.,False,PostScript Cuomo's Dolezal Act,https://link.galegroup.com/apps/doc/A535843757/SPN.SP01?u=nypl&sid=SPN.SP01&xid=292cc9d9,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Apr.,False,FAST TAKES,https://link.galegroup.com/apps/doc/A535814379/SPN.SP01?u=nypl&sid=SPN.SP01&xid=b7ecca0e,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Apr.,False,The Perils of Sensitivity,https://link.galegroup.com/apps/doc/A535462443/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5957874e,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Apr.,True,FAST TAKES,https://link.galegroup.com/apps/doc/A534834236/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c87d5843,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8,Apr.,True,Recognize hate,https://link.galegroup.com/apps/doc/A533927363/SPN.SP01?u=nypl&sid=SPN.SP01&xid=5a0929d8,2018,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
6,Apr.,False,FAST TAKES,https://link.galegroup.com/apps/doc/A533567122/SPN.SP01?u=nypl&sid=SPN.SP01&xid=110b6d51,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Apr.,False,Hate meme vs. city Muslims,https://link.galegroup.com/apps/doc/A533099716/SPN.SP01?u=nypl&sid=SPN.SP01&xid=ce619bb1,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
