Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
5,Sept.,False,Cuomo's Taxpayer 'Volunteers',https://link.galegroup.com/apps/doc/A552974714/SPN.SP01?u=nypl&sid=SPN.SP01&xid=388de93c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Sept.,False,Holy blunder at Cuo event Church posts campaign posters on screens,https://link.galegroup.com/apps/doc/A552756451/SPN.SP01?u=nypl&sid=SPN.SP01&xid=d8696e56,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Aug.,True,FAST TAKES,https://link.galegroup.com/apps/doc/A552406859/SPN.SP01?u=nypl&sid=SPN.SP01&xid=aefde5f7,2018,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
29,Aug.,False,Beverly Hills pop,https://link.galegroup.com/apps/doc/A552143910/SPN.SP01?u=nypl&sid=SPN.SP01&xid=558d41a5,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Aug.,False,The Mystery of Julia Salazar,https://link.galegroup.com/apps/doc/A551898233/SPN.SP01?u=nypl&sid=SPN.SP01&xid=971de749,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Aug.,False,MLB's Mission to strike out A-rod Tell-all reveals bosses' hardball plays & Yank's brushback tactics Grudge match,https://link.galegroup.com/apps/doc/A551890998/SPN.SP01?u=nypl&sid=SPN.SP01&xid=18b0b7fe,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Aug.,False,"DeB on cop-abuse taunts: Aw, quit it!",https://link.galegroup.com/apps/doc/A551033519/SPN.SP01?u=nypl&sid=SPN.SP01&xid=99e60858,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Aug.,False,NY's finest caught in line of ire Police find themselves handcuffed as badge-bashing rises,https://link.galegroup.com/apps/doc/A550869172/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7ce2e6a6,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Aug.,False,"Vic's Mercy for mugger 'He's with the Lord, and I'm OK'",https://link.galegroup.com/apps/doc/A550869206/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2341ec72,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Aug.,False,ARETHA FRANKLIN 1942-2018 Heaven gains a beautiful soul World mourns as legend dies - but long live the Queen's music,https://link.galegroup.com/apps/doc/A550494085/SPN.SP01?u=nypl&sid=SPN.SP01&xid=0eb562cf,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Aug.,False,Edie finds Polly's truth,https://link.galegroup.com/apps/doc/A550307529/SPN.SP01?u=nypl&sid=SPN.SP01&xid=632a9028,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Aug.,False,Bad picks for new Bird Hackenberg,https://link.galegroup.com/apps/doc/A550307583/SPN.SP01?u=nypl&sid=SPN.SP01&xid=13134b6c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Aug.,True,Unfinished Business in Syria,https://link.galegroup.com/apps/doc/A550056279/SPN.SP01?u=nypl&sid=SPN.SP01&xid=564a09f6,2018,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False
12,Aug.,False,Sports Shorts,https://link.galegroup.com/apps/doc/A550049031/SPN.SP01?u=nypl&sid=SPN.SP01&xid=a1a4ff0d,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Aug.,True,PostScript Making Hay With 'Hate',https://link.galegroup.com/apps/doc/A550049034/SPN.SP01?u=nypl&sid=SPN.SP01&xid=76a9e233,2018,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
9,Aug.,False,Mag meets its maker,https://link.galegroup.com/apps/doc/A549476785/SPN.SP01?u=nypl&sid=SPN.SP01&xid=68323e42,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Aug.,True,Beatle slayer's wife: Let him be,https://link.galegroup.com/apps/doc/A549133414/SPN.SP01?u=nypl&sid=SPN.SP01&xid=36bc5937,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,Aug.,False,Hot Ticket Pride and prejudice,https://link.galegroup.com/apps/doc/A548751398/SPN.SP01?u=nypl&sid=SPN.SP01&xid=2f56ad0b,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Aug.,False,'REAL' SAD The 'OC Housewives' need to look in the mirror,https://link.galegroup.com/apps/doc/A548445028/SPN.SP01?u=nypl&sid=SPN.SP01&xid=435de62f,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
